tempo,bytes,cpu
1621301866.1372356,151524664,18.1
1621301867.1585798,151524882,21.4
1621301868.1747196,151525069,9.2
1621301869.1832402,151525239,14.6
1621301870.2041466,151525239,9.7
1621301871.2255769,151526453,11.5
1621301872.2482004,151526959,6.9
1621301873.2659535,151526959,14.4
1621301874.2872462,151527123,11.0
1621301875.3082166,151527232,3.5
1621301876.3173685,151527403,3.9
1621301877.3301544,151530711,4.7
1621301878.3506122,151530858,0.4
1621301879.3605065,151536431,5.8
1621301880.381552,151538478,6.9
1621301881.4048378,151544743,3.5
1621301882.423697,151547185,1.2
1621301883.4333484,151547239,1.2
1621301884.4481149,151549115,2.7
1621301885.4688797,151559143,3.9
1621301886.4783556,151559360,2.7
1621301887.489207,151559578,2.3
1621301888.5027716,151561781,2.3
1621301889.521021,151561781,2.3
1621301890.5308583,151561907,3.1
1621301891.5437098,151561907,0.4
1621301892.5573595,151562171,6.9
1621301893.5762293,151563277,1.2
1621301894.5891743,151564542,0.8
1621301895.5991883,151565315,3.1
1621301896.607349,151566042,2.3
1621301897.6196992,151570900,2.3
1621301898.6322663,151570942,1.2
1621301899.6472116,151572874,1.9
1621301900.6565483,151572874,13.4
1621301901.6750116,151572936,13.9
1621301902.6905713,151573380,27.3
1621301903.7094426,151577339,12.8
1621301904.730119,151579289,38.9
1621301905.738821,151583872,24.4
1621301906.7591503,151583872,7.8
1621301907.7673178,151585021,15.5
1621301908.7888312,151585264,13.4
1621301909.8075776,151585264,16.3
1621301910.8285124,151586750,29.2
1621301911.8424203,151587193,54.1
1621301912.8535025,151595832,62.5
1621301913.866319,151603443,25.9
1621301914.8811345,151614162,24.0
1621301915.898027,151616126,35.3
1621301916.9165509,151616465,27.1
1621301917.929253,151628565,50.8
1621301918.9414966,151633634,50.4
1621301919.9655123,151647238,50.6
1621301920.992224,151680200,55.0
1621301922.0068758,151691209,58.1
1621301923.02145,151714768,27.5
1621301924.0529025,151731136,28.2
1621301925.062977,151731136,29.2
1621301926.07443,151744745,32.7
