Pride and Prejudice;Jane Austen;1670
Frankenstein;Mary Wollstonecraft Shelley;975
Alice's Adventures in Wonderland;Lewis Carroll;927
The Adventures of Sherlock Holmes;Arthur Conan Doyle;851
Moby Dick;Herman Melville;787
The Yellow Wallpaper;Charlotte Perkins Gilman;721
Noli Me Tangere;José Rizal;632
The Great Gatsby;F. Scott Fitzgerald;627
Ulysses;James Joyce;616
The answer;George O. Smith;588
Dracula;Bram Stoker;584
The Picture of Dorian Gray;Oscar Wilde;533
A Tale of Two Cities;Charles Dickens;525
A Doll's House : a play;Henrik Ibsen;431
The Strange Case of Dr. Jekyll and Mr. Hyde;Robert Louis Stevenson;424
Great Expectations;Charles Dickens;423
Japanese Girls and Women;Alice Mabel Bacon;404
War and Peace;Leo Tolstoy;394
Friendly counsels for freedmen;Jared Bell Waterbury;393
The Importance of Being Earnest: A Trivial Comedy for Serious People;Oscar Wilde;369
